source_course_id,destination_course_id,original_start_date,original_end_date,new_start_date,new_end_date
3949,4494,2024-04-01T04:00:00Z,2024-06-10T03:59:00Z,2024-07-08T04:00:00Z,2024-09-16T03:59:00Z
3950,4495,2024-04-01T04:00:00Z,2024-06-10T03:59:00Z,2024-07-08T04:00:00Z,2024-09-16T03:59:00Z
3915,4496,2024-04-01T04:00:00Z,2024-06-10T03:59:00Z,2024-07-08T04:00:00Z,2024-09-16T03:59:00Z
4475,4497,2024-04-01T04:00:00Z,2024-06-10T03:59:00Z,2024-07-08T04:00:00Z,2024-09-16T03:59:00Z
